

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
059.598  000.110  000.110: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/nerdtree/lib/nerdtree/bookmark.vim
059.882  000.104  000.104: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/nerdtree/lib/nerdtree/tree_file_node.vim
060.280  000.216  000.216: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/nerdtree/lib/nerdtree/tree_dir_node.vim
060.548  000.096  000.096: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/nerdtree/lib/nerdtree/opener.vim
060.961  000.242  000.242: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/nerdtree/lib/nerdtree/creator.vim
061.207  000.076  000.076: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/nerdtree/lib/nerdtree/flag_set.vim
061.564  000.189  000.189: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/nerdtree/lib/nerdtree/nerdtree.vim
062.064  000.340  000.340: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/nerdtree/lib/nerdtree/ui.vim
062.247  000.018  000.018: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/nerdtree/lib/nerdtree/event.vim
062.461  000.047  000.047: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/nerdtree/lib/nerdtree/notifier.vim
063.311  000.666  000.666: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/nerdtree/autoload/nerdtree/ui_glue.vim
065.059  000.225  000.225: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-devicons/nerdtree_plugin/webdevicons.vim
065.461  000.055  000.055: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/nerdtree/nerdtree_plugin/exec_menuitem.vim
065.886  000.411  000.411: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/nerdtree/nerdtree_plugin/fs_menu.vim
065.934  000.030  000.030: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/nerdtree/nerdtree_plugin/vcs.vim
066.091  008.432  005.035: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/nerdtree/plugin/NERD_tree.vim
066.845  000.712  000.712: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/fzf/plugin/fzf.vim
067.643  000.738  000.738: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/fzf.vim/plugin/fzf.vim
067.809  000.101  000.101: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/fzf-session.vim/plugin/fzf_session.vim
069.820  001.973  001.973: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/emmet-vim/plugin/emmet.vim
070.328  000.431  000.431: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-template/plugin/templates.vim
071.468  001.091  001.091: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-fugitive/plugin/fugitive.vim
071.942  000.096  000.096: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-gitgutter/autoload/gitgutter/utility.vim
072.338  000.083  000.083: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-gitgutter/autoload/gitgutter/highlight.vim
073.231  001.701  001.522: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-gitgutter/plugin/gitgutter.vim
073.656  000.025  000.025: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/neomake/autoload/neomake/setup.vim
073.840  000.551  000.526: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/neomake/plugin/neomake.vim
073.892  000.011  000.011: sourcing /usr/share/vim/vimfiles/plugin/fzf.vim
074.120  000.191  000.191: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-polyglot/plugin/polyglot.vim
074.306  000.050  000.050: sourcing /usr/share/vim/vim82/plugin/getscriptPlugin.vim
074.479  000.161  000.161: sourcing /usr/share/vim/vim82/plugin/gzip.vim
074.633  000.139  000.139: sourcing /usr/share/vim/vim82/plugin/logiPat.vim
074.665  000.017  000.017: sourcing /usr/share/vim/vim82/plugin/manpager.vim
074.793  000.118  000.118: sourcing /usr/share/vim/vim82/plugin/matchparen.vim
075.218  000.405  000.405: sourcing /usr/share/vim/vim82/plugin/netrwPlugin.vim
075.262  000.022  000.022: sourcing /usr/share/vim/vim82/plugin/rrhelper.vim
075.298  000.017  000.017: sourcing /usr/share/vim/vim82/plugin/spellfile.vim
075.447  000.132  000.132: sourcing /usr/share/vim/vim82/plugin/tarPlugin.vim
075.523  000.059  000.059: sourcing /usr/share/vim/vim82/plugin/tohtml.vim
075.673  000.136  000.136: sourcing /usr/share/vim/vim82/plugin/vimballPlugin.vim
075.848  000.147  000.147: sourcing /usr/share/vim/vim82/plugin/zipPlugin.vim
075.862  002.328: loading plugins
075.895  000.033: loading packages
075.958  000.063: loading after plugins
076.590  000.632: inits 3
077.097  000.507: reading viminfo
077.954  000.857: setup clipboard
077.965  000.011: setting raw mode
077.970  000.005: start termcap
077.984  000.014: clearing screen
078.565  000.187  000.187: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-airline/autoload/airline/extensions.vim
078.672  000.031  000.031: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-airline/autoload/airline/extensions/quickfix.vim
078.824  000.104  000.104: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-airline/autoload/airline.vim
078.934  000.020  000.020: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-airline/autoload/airline/extensions/netrw.vim
079.023  000.020  000.020: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-airline/autoload/airline/extensions/fzf.vim
079.422  000.114  000.114: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-airline/autoload/airline/highlighter.vim
079.641  000.478  000.364: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-airline/autoload/airline/extensions/term.vim
079.810  000.059  000.059: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-airline/autoload/airline/extensions/hunks.vim
